Trail Name,Timestamp
R_r1deg180h0,1729977567.0434294
R_r1deg180h0,1729977571.9101677
R_r1deg180h0,1729977567.0101445
R_r1deg180h0,1729977567.0767274
R_r1deg180h0,1729977571.8434474
R_r1deg180h0,1729977567.2100978
R_r1deg180h0,1729977571.7767634
R_r1deg180h0,1729977571.7434487
R_r1deg180h0,1729977571.876753
R_r1deg180h0,1729977571.9434483
R_r1deg180h0,1729977519.076766
R_r1deg180h0,1729977519.443429
R_r1deg180h0,1729977533.5100958
R_r1deg180h0,1729977549.943429
R_r1deg180h0,1729977550.0101702
R_r1deg180h0,1729977533.1100938
R_r1deg180h0,1729977524.876763
R_r1deg180h0,1729977533.6101117
R_r1deg180h0,1729977533.910037
R_r1deg180h0,1729977540.9101052
R_r1deg180h0,1729977540.9767623
R_r1deg180h0,1729977540.8768811
R_r1deg180h0,1729977520.0100946
R_r1deg180h0,1729977520.3100946
R_r1deg180h0,1729977520.5767658
R_r1deg180h0,1729977520.7100947
R_r1deg180h0,1729977561.5100944
R_r1deg180h0,1729977561.743427
R_r1deg180h0,1729977561.1434271
R_r1deg180h0,1729977561.5767608
R_r1deg180h0,1729977561.210123
R_r1deg180h0,1729977558.876733
R_r1deg180h0,1729977558.776758
R_r1deg180h0,1729977558.6434278
R_r1deg180h0,1729977541.0100782
R_r1deg180h0,1729977541.3768563
R_r1deg180h0,1729977559.1434305
R_r1deg180h0,1729977559.610189
R_r1deg180h0,1729977559.8434286
R_r1deg180h0,1729977541.6434286
R_r1deg180h0,1729977541.043431
R_r1deg180h0,1729977560.9434268
R_r1deg180h0,1729977521.8767643
R_r1deg180h0,1729977521.943432
R_r1deg180h0,1729977561.6767616
R_r1deg180h0,1729977561.8100936
R_r1deg180h0,1729977561.0434265
R_r1deg180h0,1729977561.4100935
R_r1deg180h0,1729977561.476761
R_r1deg180h0,1729977561.7768266
R_r1deg180h0,1729977561.8767586
R_r1deg180h0,1729977544.710155
R_r1deg180h0,1729977544.8101842
R_r1deg180h0,1729977544.9767606
R_r1deg180h0,1729977544.1100955
R_r1deg180h0,1729977544.5101285
R_r1deg180h0,1729977544.6101558
R_r1deg180h0,1729977542.5101051
R_r1deg180h0,1729977544.6767836
R_r1deg180h0,1729977544.843429
R_r1deg180h0,1729977522.1768627
R_r1deg180h0,1729977522.2434316
R_r1deg180h0,1729977522.3101091
R_r1deg180h0,1729977522.376766
R_r1deg180h0,1729977522.543433
R_r1deg180h0,1729977522.6101446
R_r1deg180h0,1729977522.810187
R_r1deg180h0,1729977566.5101545
R_r1deg180h0,1729977522.5767353
R_r1deg180h0,1729977522.7434323
R_r1deg180h0,1729977566.4767609
R_r1deg180h0,1729977567.17687
R_r1deg180h0,1729977567.410144
R_r1deg180h0,1729977567.143427
R_r1deg180h0,1729977567.2434282
R_r1deg180h0,1729977567.3100946
R_r1deg180h0,1729977543.910107
